timestamp,air_temperature_01209E52_avg,air_temperature_01209E52_max,air_temperature_01209E52_min,dew_point_01209E52_avg,dew_point_01209E52_min,vpd_01209E52_avg,vpd_01209E52_min,relative_humidity_01209E52_avg,relative_humidity_01209E52_max,relative_humidity_01209E52_min,precipitation_01209E52_sum,deltaT_01209E52_avg,deltaT_01209E52_max,deltaT_01209E52_min
2021-09-14 10:00:00,14.95,15.74,14.01,10.7,10.4,0.39,0.31,76.34,80.51,72.66,0,2,3,2
2021-09-14 09:00:00,13.4,14.03,12.55,10.6,10.4,0.24,0.17,83.62,88.2,80.05,0,2,2,1
2021-09-14 08:00:00,10.74,12.4,9.27,10.2,9.2,0.03,0,96.98,100,90.43,0,0,1,0
2021-09-14 07:00:00,8.55,9.3,8.19,8.4,8.1,0,0,99.99,100,99.99,0,0,0,0
2021-09-14 06:00:00,8.75,9.09,8.33,8.6,8.3,0,0,99.82,100,99.23,0,0,0,0
2021-09-14 05:00:00,9.99,10.61,9.43,9.7,9.1,0.01,0,98.78,100,97.58,0,0,0,0
2021-09-14 04:00:00,10.92,11.63,10.4,10.5,10.1,0.02,0,97.62,99.61,94.78,0,0,0,0
2021-09-14 03:00:00,12.46,12.71,12.06,11.2,10.7,0.09,0.07,92.81,94.71,91.34,0,1,1,0
2021-09-14 02:00:00,12.34,12.49,12.17,11.2,10.9,0.08,0.06,93.46,95.31,92.34,0,0,1,0
2021-09-14 01:00:00,11.97,12.31,11.32,10.7,10.5,0.1,0.06,92.33,95.06,89.39,0,1,1,0
2021-09-14 00:00:00,11.43,12.07,11.02,10.1,10,0.1,0.07,92.18,94.28,87.75,0,1,1,0
2021-09-13 23:00:00,13.07,14.49,12.15,10.1,9.8,0.26,0.17,82.55,87.71,74.05,0,2,3,1
2021-09-13 22:00:00,14.81,15.23,14.65,9.7,9.7,0.46,0.44,72.12,73.18,69.71,0,3,3,3
2021-09-13 21:00:00,16.15,16.77,15.4,9.3,8.9,0.65,0.54,64.17,68.88,60.15,0,4,4,3
2021-09-13 20:00:00,17.47,18.18,16.9,9.2,9,0.81,0.76,58.88,60.09,57.04,0,5,5,4
2021-09-13 19:00:00,19.15,19.88,18.3,9,8.4,1.06,0.92,52.03,56.13,47.86,0,6,6,5
2021-09-13 18:00:00,20.58,21.22,20.1,9.2,8.7,1.24,1.19,48.32,49.8,46.23,0,6,7,6
2021-09-13 17:00:00,20.73,21.57,19.96,9.5,9,1.25,1.14,48.71,50.97,45.17,0,6,7,6
2021-09-13 16:00:00,21.42,22.12,20.3,9.6,9.1,1.34,1.16,47.31,51.82,44.93,0,7,7,6
