timestamp,air_temperature_00209FC8_avg,air_temperature_00209FC8_max,air_temperature_00209FC8_min,dew_point_00209FC8_avg,dew_point_00209FC8_min,solar_radiation_00209FC8_avg,vpd_00209FC8_avg,vpd_00209FC8_min,relative_humidity_00209FC8_avg,relative_humidity_00209FC8_max,relative_humidity_00209FC8_min,precipitation_00209FC8_sum,leaf_wetness_00209FC8_time,deltaT_00209FC8_avg,deltaT_00209FC8_max,deltaT_00209FC8_min
2023-09-26 11:00:00,14.29,14.55,14.03,9,8.9,553,0.47,0.45,70.89,71.67,70.11,0,0,3,3,3
2023-09-26 10:50:00,13.86,13.89,13.84,9,8.9,519,0.42,0.41,72.91,73.62,72.2,0,0,3,3,3
2023-09-26 10:40:00,13.79,13.85,13.74,9,9,513,0.41,0.41,73.16,73.48,72.85,0,0,3,3,3
2023-09-26 10:30:00,13.46,13.47,13.45,8.9,8.9,452,0.39,0.39,74.41,74.67,74.15,0,0,3,3,2
2023-09-26 10:20:00,13.19,13.28,13.1,8.8,8.8,437,0.37,0.37,75,75.41,74.6,0,0,2,2,2
2023-09-26 10:10:00,12.72,12.73,12.71,8.7,8.7,417,0.33,0.33,76.88,77.08,76.68,0,0,2,2,2
2023-09-26 10:00:00,12.49,12.59,12.4,8.6,8.5,358,0.32,0.32,77.51,77.58,77.45,0,0,2,2,2
2023-09-26 09:50:00,12.14,12.23,12.05,8.7,8.6,247,0.28,0.28,79.9,79.93,79.88,0,0,2,2,2
2023-09-26 09:40:00,11.75,11.8,11.7,8.4,8.4,231,0.26,0.26,80.54,80.73,80.36,0,0,2,2,2
2023-09-26 09:30:00,11.64,11.66,11.62,8.6,8.6,214,0.24,0.24,81.97,82.15,81.8,0,0,2,2,2
2023-09-26 09:20:00,11.54,11.56,11.53,8.6,8.6,193,0.23,0.23,82.41,82.64,82.19,0,0,2,2,2
2023-09-26 09:10:00,11.26,11.34,11.19,8.5,8.5,163,0.21,0.21,83.62,83.82,83.43,0,0,1,1,1
2023-09-26 09:00:00,11.15,11.16,11.15,8.3,8.3,170,0.22,0.22,83.13,83.19,83.07,0,0,2,2,2
2023-09-26 08:50:00,11.25,11.25,11.25,8.4,8.2,187,0.22,0.2,82.94,84.29,81.6,0,0,2,2,1
2023-09-26 08:40:00,10.94,11.05,10.84,8.3,8.3,163,0.2,0.2,84.2,84.44,83.97,0,0,1,1,1
2023-09-26 08:30:00,10.66,10.7,10.62,8.1,8.1,115,0.19,0.19,84.84,84.9,84.78,0,0,1,1,1
2023-09-26 08:20:00,10.51,10.52,10.51,8.1,8.1,102,0.18,0.18,85.44,85.62,85.27,0,0,1,1,1
2023-09-26 08:10:00,10.57,10.6,10.55,8.1,8.1,107,0.18,0.18,85.12,85.46,84.78,0,0,1,1,1
2023-09-26 08:00:00,10.53,10.57,10.5,8.1,8,104,0.18,0.18,85.09,85.36,84.83,0,0,1,1,1
2023-09-26 07:50:00,10.39,10.46,10.32,8,8,92,0.17,0.17,85.55,85.74,85.37,0,0,1,1,1
2023-09-26 07:40:00,10.37,10.41,10.33,8,8,73,0.17,0.17,85.49,85.68,85.31,0,0,1,1,1
2023-09-26 07:30:00,10.39,10.44,10.35,8.1,8.1,64,0.17,0.17,86.3,86.47,86.14,0,0,1,1,1
2023-09-26 07:20:00,10.21,10.24,10.18,8,8,49,0.16,0.16,86.55,86.88,86.23,0,0,1,1,1
2023-09-26 07:10:00,9.97,9.98,9.96,8,8,15,0.14,0.14,87.75,87.8,87.7,0,0,1,1,1
2023-09-26 07:00:00,9.92,9.93,9.91,8,8,0,0.14,0.14,88.21,88.45,87.97,0,0,1,1,1
2023-09-26 06:50:00,9.87,9.9,9.84,8,8,0,0.13,0.13,88.52,88.59,88.45,0,0,1,1,1
2023-09-26 06:40:00,9.76,9.78,9.75,8,8,0,0.13,0.13,89,89.06,88.95,0,0,1,1,1
2023-09-26 06:30:00,9.7,9.75,9.65,8,8,0,0.12,0.12,89.29,89.52,89.06,0,0,1,1,1
2023-09-26 06:20:00,9.56,9.57,9.55,7.9,7.9,0,0.11,0.11,89.94,89.99,89.89,0,0,1,1,1
2023-09-26 06:10:00,9.55,9.6,9.51,7.9,7.9,0,0.11,0.11,89.98,90.25,89.72,0,0,1,1,1
2023-09-26 06:00:00,9.61,9.73,9.49,7.9,7.9,0,0.12,0.11,89.72,90.26,89.19,0,0,1,1,1
2023-09-26 05:50:00,9.64,9.79,9.5,7.9,7.9,0,0.12,0.11,89.49,90,88.98,0,0,1,1,1
2023-09-26 05:40:00,9.76,9.81,9.72,8,8,0,0.12,0.12,89,89.22,88.79,0,0,1,1,1
